数量,酒店名,星级,档次,评分,价格,链接
115,北京君颐润华酒店,05,豪华型,4.4,568元,http://hotels.ctrip.com/hotel/1273120.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15
116,北京乐活新青年社区,03,舒适型,4.6,516元,http://hotels.ctrip.com/hotel/8202515.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16
117,桔子水晶酒店(北京总部基地店),04,高档型,4.9,721元,http://hotels.ctrip.com/hotel/2043832.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17
118,北京天健宾馆,04,高档型,4.7,871元,http://hotels.ctrip.com/hotel/1013656.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18
119,北京行者居酒店,04,高档型,4.6,406元,http://hotels.ctrip.com/hotel/2137115.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19
120,北京国图宾馆,03,舒适型,4.5,598元,http://hotels.ctrip.com/hotel/2302874.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20
121,如家精选酒店(北京五棵松店),03,舒适型,4.8,522元,http://hotels.ctrip.com/hotel/13366625.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21
122,北京中油宾馆(海淀分部)(原梦溪宾馆),03,舒适型,4.3,479元,http://hotels.ctrip.com/hotel/1477161.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22
123,桔子酒店·精选(北京天宁寺店),03,舒适型,4.9,721元,http://hotels.ctrip.com/hotel/1816376.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23
124,北京工体永利国际酒店公寓,02,经济型,4.5,506元,http://hotels.ctrip.com/hotel/2296290.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24
125,飘HOME连锁酒店(北京建国门店),02,经济型,4.3,428元,http://hotels.ctrip.com/hotel/457695.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25
126,佳龙酒店(北京朝阳门分店),03,舒适型,4.2,349元,http://hotels.ctrip.com/hotel/443568.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
127,北京隐海文化民宿空间,04,高档型,4.7,4888元,http://hotels.ctrip.com/hotel/13759083.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
128,北京金丝特酒店(原新疆巴州驻京联络处),02,经济型,4.5,589元,http://hotels.ctrip.com/hotel/1231824.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
